timestamp,Active_Power,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Max_Wind_Speed,Air_Pressure,Hail_Accumulation
1/12/2022 3:50,-0.36563563,0.696666658,18.62333298,-4.592268944,152.6999969,0,1.200000048,952.4000244,0
1/12/2022 3:55,-0.360361213,0.75,18.51000023,-4.525144577,160.5,0,1.600000024,952.4000244,0
1/12/2022 4:00,-0.36286159,0.613333344,18.42000008,-4.634313583,149.6666718,0,1.5,952.4866943,0
1/12/2022 4:05,-0.361813172,0.670000017,18.32999992,-4.602306843,140.8000031,0,1.600000024,952.5233154,0
1/12/2022 4:10,-0.36413708,0.466666669,18.17666626,-4.629791737,146.6999969,0,1.100000024,952.5999756,0
1/12/2022 4:15,-0.362139243,0.433333337,18.05666733,-4.918812752,136.6000061,0,1.299999952,952.6166382,0
1/12/2022 4:20,-0.361351031,0.623333335,17.93333244,-4.558402061,136.8999939,0,1.100000024,952.7000122,0
1/12/2022 4:25,-0.358026685,0.530000031,17.87999916,-4.25334549,139.7333374,0,0.899999976,952.7999878,0
1/12/2022 4:30,-0.35981666,,,,,,,,
1/12/2022 4:35,-0.36321966,1.076666713,17.84999847,-3.649630547,137.2666626,0,2.200000048,952.7000122,0
1/12/2022 4:40,-0.362173588,1.203333378,18,-3.072983027,141.1666718,0,2.400000095,952.7466431,0
1/12/2022 4:45,-0.367366897,1.103333354,18,-3.495835543,140.8999939,0,1.600000024,952.7999878,0
1/12/2022 4:50,-0.362120028,1.116666675,17.95666695,-3.579988956,139.8333282,0,1.700000048,952.7999878,0
1/12/2022 4:55,-0.365482141,1.206666708,17.98666573,-3.371689796,139.7333374,0,1.899999976,952.8133545,0
1/12/2022 5:00,-0.363666952,1.113333344,17.93000031,-3.569117069,145.1999969,0,1.700000048,952.9000244,0
1/12/2022 5:05,-0.364344322,1.200000048,17.81999969,-3.740502834,143.2333374,0,2.099999905,952.9000244,0
1/12/2022 5:10,-0.362117876,1.370000005,17.79999924,-3.540798664,142.6999969,0,2.299999952,952.8833618,0
1/12/2022 5:15,-0.362406523,1.386666656,17.79999924,-3.531401873,145.4333344,0,2.200000048,952.9033813,0
1/12/2022 5:20,-0.359893562,1.346666694,17.79999924,-3.354307413,144.1999969,0,2.099999905,953,0
1/12/2022 5:25,-0.358673895,1.25,17.75666618,-3.427877665,140.3666687,0,1.899999976,953.0033569,0
1/12/2022 5:30,-0.338945032,1.306666732,17.68333435,-3.271533012,138.2333374,0,2.299999952,953.0999756,0
1/12/2022 5:35,-0.318136724,1.226666689,17.57333374,-2.646667242,147.6000061,0,2,953.1400146,0
1/12/2022 5:40,-0.276968618,1.206666708,17.46666718,-1.95140636,158.9666595,0,2.099999905,953.2000122,0
1/12/2022 5:45,-0.242275451,1.203333378,17.35333252,-0.679546237,139.3999939,0,2.099999905,953.2700195,0
1/12/2022 5:50,-0.234721671,1.029999971,17.2266674,1.943998098,151.5666656,0,2.299999952,953.3266602,0
1/12/2022 5:55,7.249243281,1.110000014,17.20000076,5.166975975,135.6999969,0,2,953.4666748,0
1/12/2022 6:00,12.49487689,1.149999976,17.11666679,10.26859188,149.0666656,0,1.899999976,953.5666504,0
1/12/2022 6:05,18.69612445,1.083333373,17.14333344,24.91352081,157.1666718,0,2.200000048,953.6833496,0
1/12/2022 6:10,24.11168416,0.99666667,17.26666641,37.08512497,147.3333282,0,2.299999952,953.8266602,0
1/12/2022 6:15,29.26380193,0.74000001,17.29999924,50.44834518,154.1333313,0,1.399999976,953.9400024,0
1/12/2022 6:20,35.42024922,0.713333309,17.31666565,64.30783081,173.5,0,1.799999952,954.0966797,0
